AL	439	270	1.6	99
AK	94	325	74.5	61
AZ	148	241	0.3	193
AR	368	247	5.2	123
CA	56	176	0.0	146
CO	220	183	19.1	136
CT	576	120	40.5	82
DE	556	166	20.2	97
FL	510	331	0.0	101
GA	478	267	0.7	112
HI	232	380	0.0	90
ID	143	101	19.2	120
IL	405	168	24.6	95
IN	437	165	25.9	88
IA	357	147	34.9	105
KS	302	194	14.7	128
KY	453	203	12.5	93
LA	371	302	0.0	101
ME	595	59	61.8	101
MD	538	162	20.2	105
MA	581	108	43.8	98
MI	446	120	51.1	71
MN	339	86	54.0	95
MS	406	274	0.9	111
MO	365	197	17.0	115
MT	194	61	38.1	82
NE	286	151	25.9	117
NV	102	157	21.8	158
NH	580	89	60.8	90
NJ	561	143	16.5	94
NM	208	245	9.6	167
NY	541	107	123.8	63
NC	519	221	7.6	109
ND	283	65	51.2	93
OH	472	160	27.5	72
OK	309	239	7.8	139
OR	74	86	3.0	68
PA	523	144	28.2	87
RI	589	117	33.8	98
SC	506	251	0.5	115
SD	286	109	43.9	104
TN	441	229	6.3	102
TX	291	299	1.5	135
UT	154	171	56.2	125
VT	567	86	81.2	58
VA	529	189	10.3	100
WA	92	38	5.0	58
WV	496	178	62.0	60
WI	392	103	50.9	89
WY	207	125	91.4	114
